Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,251.990005,252.399994,247.410004,250.759995,250.610092,5205500
2020-02-06,252.139999,254.250000,248.880005,254.250000,254.098022,5457100
2020-02-07,252.639999,253.529999,250.570007,251.589996,251.439606,4743800
2020-02-10,252.500000,263.000000,252.300003,262.970001,262.812805,13240200
2020-02-11,267.320007,272.500000,264.829987,267.890015,267.729889,15963900
2020-02-12,270.010010,272.799988,268.450012,272.540009,272.377106,9366100
2020-02-13,270.209991,273.480011,269.109985,270.779999,270.618134,13200400
2020-02-14,287.260010,294.970001,286.000000,289.790009,289.616791,26048100
2020-02-18,285.640015,297.309998,284.859985,296.570007,296.392731,15504100
2020-02-19,301.489990,315.410004,301.489990,314.700012,314.511902,17358300
2020-02-20,312.769989,316.320007,296.350006,308.700012,308.515472,20251300
2020-02-21,304.190002,305.200012,290.660004,294.070007,293.894226,19204500
2020-02-24,270.190002,281.869995,268.000000,273.279999,273.116638,21422900
2020-02-25,276.299988,278.790009,257.959991,262.049988,261.893341,26387400
2020-02-26,262.059998,275.450012,262.000000,267.649994,267.489990,18693300
2020-02-27,254.899994,267.000000,248.889999,252.600006,252.600006,22589300
2020-02-28,242.460007,272.459991,241.789993,270.070007,270.070007,28366900
2020-03-02,276.899994,277.589996,261.000000,276.429993,276.429993,22268600
2020-03-03,278.670013,281.070007,262.459991,265.890015,265.890015,16319800
2020-03-04,270.200012,284.890015,267.200012,284.510010,284.510010,14935200
2020-03-05,276.500000,283.200012,271.500000,273.290009,273.290009,13508200
2020-03-06,266.079987,268.390015,258.000000,266.040009,266.040009,12885300
2020-03-09,239.899994,259.399994,238.179993,245.440002,245.440002,15354000
2020-03-10,256.540009,261.079987,245.990005,261.079987,261.079987,14516200
2020-03-11,255.460007,256.600006,242.570007,246.470001,246.470001,12499100
2020-03-12,225.460007,236.119995,215.800003,216.309998,216.309998,20413500
2020-03-13,230.500000,241.020004,219.610001,240.839996,240.839996,15870900
2020-03-16,212.410004,226.100006,194.000000,196.399994,196.399994,18174300
2020-03-17,200.910004,220.860001,191.000000,217.270004,217.270004,20840800
2020-03-18,200.100006,209.940002,180.679993,202.820007,202.820007,21856700
2020-03-19,201.960007,216.729996,193.389999,212.970001,212.970001,19137800
2020-03-20,219.000000,230.320007,205.130005,205.750000,205.750000,20115900
2020-03-23,205.710007,216.479996,198.520004,212.690002,212.690002,16096900
2020-03-24,229.000000,252.660004,228.050003,249.179993,249.179993,27541100
2020-03-25,253.800003,261.820007,243.660004,245.619995,245.619995,19835800
2020-03-26,253.940002,262.220001,250.000000,257.239990,257.239990,17402700
2020-03-27,250.000000,263.119995,248.679993,252.729996,252.729996,15970700
2020-03-30,255.360001,265.959991,253.589996,265.589996,265.589996,15056300
2020-03-31,267.200012,275.399994,257.750000,263.600006,263.600006,23749000
2020-04-01,255.649994,261.529999,241.279999,243.070007,243.070007,16422800
2020-04-02,244.240005,256.000000,242.309998,255.470001,255.470001,16894100
2020-04-03,253.960007,255.630005,238.389999,243.910004,243.910004,16580300
2020-04-06,255.240005,269.880005,252.929993,268.399994,268.399994,18197100
2020-04-07,277.299988,278.250000,257.299988,259.029999,259.029999,19613000
2020-04-08,263.410004,267.950012,260.600006,266.950012,266.950012,13561100
2020-04-09,272.000000,272.920013,260.420013,262.950012,262.950012,13156200
2020-04-13,260.549988,270.200012,257.000000,269.850006,269.850006,9960200
2020-04-14,275.000000,285.320007,273.890015,283.950012,283.950012,13273700
2020-04-15,277.200012,284.170013,275.380005,280.839996,280.839996,9153700
2020-04-16,287.079987,299.000000,286.549988,294.700012,294.700012,18640500
2020-04-17,298.000000,298.859985,286.940002,292.320007,292.320007,13478000
2020-04-20,287.239990,293.500000,285.269989,287.049988,287.049988,11234700
2020-04-21,282.309998,284.769989,267.109985,269.510010,269.510010,18379000
2020-04-22,277.230011,287.869995,275.399994,286.149994,286.149994,12118200
2020-04-23,287.839996,293.140015,283.000000,284.010010,284.010010,10604000
2020-04-24,283.600006,289.670013,280.600006,289.589996,289.589996,8816100
2020-04-27,294.989990,303.500000,294.000000,297.079987,297.079987,11984700
2020-04-28,303.000000,304.200012,291.140015,291.359985,291.359985,11072600
2020-04-29,296.769989,300.579987,293.750000,298.459991,298.459991,9479000
2020-04-30,296.290009,298.459991,291.720001,292.279999,292.279999,9372900
2020-05-01,284.350006,288.899994,280.839996,282.779999,282.779999,8552400
2020-05-04,280.880005,291.839996,280.880005,291.290009,291.290009,7938900
